cluster_id,signal,occurrences,distinct_texts,files,boilerplate_class,internally_divergent,divergence_triggers,min_pairwise_similarity,formed_by_chaining,proposed_representative_id,proposed_representative_file,proposed_representative_line,authority_reason,dates,ratified_by,member_ids,representative_text_excerpt_grouped_clusters_only_full_text_in_decision_candidates_json
DC-05638,1-text,1,1,1,,,,,,DH-05878,cc_engage_pre_l5_refactor_report.md,117,Claude Code session report or dispatch (a restatement by construction),,,DH-05878,
DC-05639,1-text,1,1,1,,,,,,DH-05879,cc_engage_pre_l5_refactor_report.md,125,Claude Code session report or dispatch (a restatement by construction),,,DH-05879,
DC-05640,1-text,1,1,1,,,,,,DH-05880,cc_engage_pre_l5_refactor_report.md,127,Claude Code session report or dispatch (a restatement by construction),,,DH-05880,
DC-05641,1-text,1,1,1,,,,,,DH-05881,cc_engage_pre_l5_refactor_report.md,130,Claude Code session report or dispatch (a restatement by construction),,,DH-05881,
DC-05642,1-text,1,1,1,,,,,,DH-05882,cc_engage_pre_l5_refactor_report.md,146,Claude Code session report or dispatch (a restatement by construction),,,DH-05882,
DC-05643,1-text,1,1,1,,,,,,DH-05883,cc_engage_pre_l5_refactor_report.md,149,Claude Code session report or dispatch (a restatement by construction),,,DH-05883,
DC-05644,1-text,1,1,1,,,,,,DH-05884,cc_engage_pre_l5_refactor_report.md,154,Claude Code session report or dispatch (a restatement by construction),,,DH-05884,
DC-05645,1-text,1,1,1,,,,,,DH-05885,cc_engage_pre_l5_refactor_report.md,163,Claude Code session report or dispatch (a restatement by construction),,,DH-05885,
DC-05646,1-text,1,1,1,,,,,,DH-05887,cc_engage_pre_l5_refactor_report.md,176,Claude Code session report or dispatch (a restatement by construction),,,DH-05887,
DC-05647,1-text,1,1,1,,,,,,DH-05888,cc_engage_pre_l5_refactor_report.md,184,Claude Code session report or dispatch (a restatement by construction),,,DH-05888,
DC-05648,1-text,1,1,1,,,,,,DH-05889,cc_engage_pre_l5_refactor_report.md,190,Claude Code session report or dispatch (a restatement by construction),,,DH-05889,
DC-05649,1-text,1,1,1,,,,,,DH-05890,cc_engage_pre_l5_refactor_report.md,195,Claude Code session report or dispatch (a restatement by construction),,,DH-05890,
DC-05650,1-text,1,1,1,,,,,,DH-05891,cc_engage_pre_l5_refactor_report.md,208,Claude Code session report or dispatch (a restatement by construction),,,DH-05891,
DC-05651,1-text,1,1,1,,,,,,DH-05892,cc_engage_pre_l5_refactor_report.md,212,Claude Code session report or dispatch (a restatement by construction),,,DH-05892,
DC-05652,1-text,1,1,1,,,,,,DH-05893,cc_engage_pre_l5_refactor_report.md,219,Claude Code session report or dispatch (a restatement by construction),,,DH-05893,
DC-05653,1-text,1,1,1,,,,,,DH-05894,cc_engage_stage3_joint_measure_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-05894,
DC-05654,1-text,1,1,1,,,,,,DH-05895,cc_engage_stage3_joint_measure_report.md,42,Claude Code session report or dispatch (a restatement by construction),,,DH-05895,
DC-05655,1-text,1,1,1,,,,,,DH-05896,cc_engage_stage3_joint_measure_report.md,47,Claude Code session report or dispatch (a restatement by construction),,,DH-05896,
DC-05656,1-text,1,1,1,,,,,,DH-05897,cc_engage_stage3_joint_measure_report.md,63,Claude Code session report or dispatch (a restatement by construction),,,DH-05897,
DC-05657,1-text,1,1,1,,,,,,DH-05898,cc_engage_stage3_joint_measure_report.md,80,Claude Code session report or dispatch (a restatement by construction),,,DH-05898,
DC-05658,1-text,1,1,1,,,,,,DH-05899,cc_engage_stage3_joint_measure_report.md,106,Claude Code session report or dispatch (a restatement by construction),,,DH-05899,
DC-05659,1-text,1,1,1,,,,,,DH-05900,cc_engage_stage3_joint_measure_report.md,123,Claude Code session report or dispatch (a restatement by construction),,,DH-05900,
DC-05660,1-text,1,1,1,,,,,,DH-05901,cc_engage_stage3_joint_measure_report.md,161,Claude Code session report or dispatch (a restatement by construction),,,DH-05901,
DC-05661,1-text,1,1,1,,,,,,DH-05902,cc_engage_stage3_joint_measure_report.md,169,Claude Code session report or dispatch (a restatement by construction),,,DH-05902,
DC-05662,1-text,1,1,1,,,,,,DH-05903,cc_engage_stage3_joint_measure_report.md,181,Claude Code session report or dispatch (a restatement by construction),,,DH-05903,
DC-05663,1-text,1,1,1,,,,,,DH-05904,cc_engage_stage3_joint_measure_report.md,190,Claude Code session report or dispatch (a restatement by construction),,,DH-05904,
DC-05664,1-text,1,1,1,,,,,,DH-05905,cc_engage_stage3_joint_measure_report.md,202,Claude Code session report or dispatch (a restatement by construction),,,DH-05905,
DC-05665,1-text,1,1,1,,,,,,DH-05906,cc_engage_stage3_joint_measure_report.md,217,Claude Code session report or dispatch (a restatement by construction),,,DH-05906,
DC-05666,1-text,1,1,1,,,,,,DH-05907,cc_engage_stage3_joint_measure_report.md,234,Claude Code session report or dispatch (a restatement by construction),,,DH-05907,
DC-05667,1-text,1,1,1,,,,,,DH-05908,cc_engage_stage3_joint_measure_report.md,245,Claude Code session report or dispatch (a restatement by construction),,,DH-05908,
DC-05668,1-text,1,1,1,,,,,,DH-05909,cc_engage_stage3_joint_measure_report.md,251,Claude Code session report or dispatch (a restatement by construction),,,DH-05909,
DC-05669,1-text,1,1,1,,,,,,DH-05910,cc_engage_stage3_joint_measure_report.md,265,Claude Code session report or dispatch (a restatement by construction),,,DH-05910,
DC-05670,1-text,1,1,1,,,,,,DH-05911,cc_engage_stage3_joint_measure_report.md,270,Claude Code session report or dispatch (a restatement by construction),,,DH-05911,
DC-05671,1-text,1,1,1,,,,,,DH-05912,cc_engage_structural_integrity_audit_report.md,51,Claude Code session report or dispatch (a restatement by construction),,,DH-05912,
DC-05672,1-text,1,1,1,,,,,,DH-05913,cc_engage_structural_integrity_audit_report.md,70,Claude Code session report or dispatch (a restatement by construction),,,DH-05913,
DC-05673,1-text,1,1,1,,,,,,DH-05914,cc_engage_structural_integrity_audit_report.md,77,Claude Code session report or dispatch (a restatement by construction),,,DH-05914,
DC-05674,1-text,1,1,1,,,,,,DH-05915,cc_engage_structural_integrity_audit_report.md,79,Claude Code session report or dispatch (a restatement by construction),,,DH-05915,
DC-05675,1-text,1,1,1,,,,,,DH-05916,cc_engage_structural_integrity_audit_report.md,89,Claude Code session report or dispatch (a restatement by construction),,,DH-05916,
DC-05676,1-text,1,1,1,,,,,,DH-05917,cc_engage_structural_integrity_audit_report.md,105,Claude Code session report or dispatch (a restatement by construction),,,DH-05917,
DC-05677,1-text,1,1,1,,,,,,DH-05918,cc_engage_u1_uncap_report.md,1,Claude Code session report or dispatch (a restatement by construction),,,DH-05918,
DC-05678,1-text,1,1,1,,,,,,DH-05919,cc_engage_u1_uncap_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-05919,
DC-05679,1-text,1,1,1,,,,,,DH-05920,cc_engage_u1_uncap_report.md,33,Claude Code session report or dispatch (a restatement by construction),,,DH-05920,
DC-05680,1-text,1,1,1,,,,,,DH-05921,cc_engage_u1_uncap_report.md,49,Claude Code session report or dispatch (a restatement by construction),,,DH-05921,
DC-05681,1-text,1,1,1,,,,,,DH-05922,cc_engage_u1_uncap_report.md,54,Claude Code session report or dispatch (a restatement by construction),,,DH-05922,
DC-05682,1-text,1,1,1,,,,,,DH-05923,cc_engage_u1_uncap_report.md,60,Claude Code session report or dispatch (a restatement by construction),,,DH-05923,
DC-05683,1-text,1,1,1,,,,,,DH-05924,cc_engage_u1_uncap_report.md,94,Claude Code session report or dispatch (a restatement by construction),,,DH-05924,
DC-05684,1-text,1,1,1,,,,,,DH-05925,cc_engage_u1_uncap_report.md,103,Claude Code session report or dispatch (a restatement by construction),,,DH-05925,
DC-05685,1-text,1,1,1,,,,,,DH-05926,cc_engage_u1_uncap_report.md,112,Claude Code session report or dispatch (a restatement by construction),,,DH-05926,
DC-05686,1-text,1,1,1,,,,,,DH-05927,cc_engage_u1_uncap_report.md,114,Claude Code session report or dispatch (a restatement by construction),,,DH-05927,
DC-05687,1-text,1,1,1,,,,,,DH-05928,cc_engage_u1_uncap_report.md,126,Claude Code session report or dispatch (a restatement by construction),,,DH-05928,
DC-05688,1-text,1,1,1,,,,,,DH-05929,cc_engage_u1_uncap_report.md,136,Claude Code session report or dispatch (a restatement by construction),,,DH-05929,
DC-05689,1-text,1,1,1,,,,,,DH-05930,cc_engage_u1_uncap_report.md,141,Claude Code session report or dispatch (a restatement by construction),,,DH-05930,
DC-05690,1-text,1,1,1,,,,,,DH-05931,cc_engage_u1_uncap_report.md,148,Claude Code session report or dispatch (a restatement by construction),,,DH-05931,
DC-05691,1-text,1,1,1,,,,,,DH-05932,cc_engage_u1_uncap_report.md,152,Claude Code session report or dispatch (a restatement by construction),,,DH-05932,
DC-05692,1-text,1,1,1,,,,,,DH-05933,cc_engage_u1_uncap_report.md,157,Claude Code session report or dispatch (a restatement by construction),,,DH-05933,
DC-05693,1-text,1,1,1,,,,,,DH-05934,cc_engage_u1_uncap_report.md,176,Claude Code session report or dispatch (a restatement by construction),,,DH-05934,
DC-05694,1-text,1,1,1,,,,,,DH-05935,cc_extension_build_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-05935,
DC-05695,1-text,1,1,1,,,,,,DH-05936,cc_extension_build_report.md,20,Claude Code session report or dispatch (a restatement by construction),,,DH-05936,
DC-05696,1-text,1,1,1,,,,,,DH-05937,cc_extension_build_report.md,27,Claude Code session report or dispatch (a restatement by construction),,,DH-05937,
DC-05697,1-text,1,1,1,,,,,,DH-05938,cc_extension_build_report.md,35,Claude Code session report or dispatch (a restatement by construction),,,DH-05938,
DC-05698,1-text,1,1,1,,,,,,DH-05939,cc_extension_build_report.md,43,Claude Code session report or dispatch (a restatement by construction),,,DH-05939,
DC-05699,1-text,1,1,1,,,,,,DH-05940,cc_extension_build_report.md,46,Claude Code session report or dispatch (a restatement by construction),,,DH-05940,
DC-05700,1-text,1,1,1,,,,,,DH-05941,cc_extension_build_report.md,73,Claude Code session report or dispatch (a restatement by construction),,,DH-05941,
DC-05701,1-text,1,1,1,,,,,,DH-05942,cc_extension_build_report.md,80,Claude Code session report or dispatch (a restatement by construction),,,DH-05942,
DC-05702,1-text,1,1,1,,,,,,DH-05943,cc_extension_build_report.md,91,Claude Code session report or dispatch (a restatement by construction),,,DH-05943,
DC-05703,1-text,1,1,1,,,,,,DH-05944,cc_extension_build_report.md,100,Claude Code session report or dispatch (a restatement by construction),,,DH-05944,
DC-05704,1-text,1,1,1,,,,,,DH-05945,cc_extension_build_report.md,101,Claude Code session report or dispatch (a restatement by construction),,,DH-05945,
DC-05705,1-text,1,1,1,,,,,,DH-05946,cc_extension_build_report.md,106,Claude Code session report or dispatch (a restatement by construction),,,DH-05946,
DC-05706,1-text,1,1,1,,,,,,DH-05947,cc_extension_build_report.md,112,Claude Code session report or dispatch (a restatement by construction),,,DH-05947,
DC-05707,1-text,1,1,1,,,,,,DH-05948,cc_extension_build_report.md,124,Claude Code session report or dispatch (a restatement by construction),,,DH-05948,
DC-05708,1-text,1,1,1,,,,,,DH-05949,cc_extension_build_report.md,129,Claude Code session report or dispatch (a restatement by construction),,,DH-05949,
DC-05709,1-text,1,1,1,,,,,,DH-05950,cc_extension_build_report.md,146,Claude Code session report or dispatch (a restatement by construction),,,DH-05950,
DC-05710,1-text,1,1,1,,,,,,DH-05951,cc_extension_build_report.md,149,Claude Code session report or dispatch (a restatement by construction),,,DH-05951,
DC-05711,1-text,1,1,1,,,,,,DH-05952,cc_extension_build_report.md,153,Claude Code session report or dispatch (a restatement by construction),,,DH-05952,
DC-05712,1-text,1,1,1,,,,,,DH-05953,cc_extension_build_report.md,154,Claude Code session report or dispatch (a restatement by construction),,,DH-05953,
DC-05713,1-text,1,1,1,,,,,,DH-05954,cc_extension_build_report.md,168,Claude Code session report or dispatch (a restatement by construction),,,DH-05954,
DC-05714,1-text,1,1,1,,,,,,DH-05955,cc_extension_build_report.md,176,Claude Code session report or dispatch (a restatement by construction),,,DH-05955,
DC-05715,1-text,1,1,1,,,,,,DH-05956,cc_extension_build_report.md,186,Claude Code session report or dispatch (a restatement by construction),,,DH-05956,
DC-05716,1-text,1,1,1,,,,,,DH-05957,cc_extension_build_report.md,221,Claude Code session report or dispatch (a restatement by construction),,,DH-05957,
DC-05717,1-text,1,1,1,,,,,,DH-05958,cc_extension_build_report.md,224,Claude Code session report or dispatch (a restatement by construction),,,DH-05958,
DC-05718,1-text,1,1,1,,,,,,DH-05959,cc_extension_build_report.md,234,Claude Code session report or dispatch (a restatement by construction),,,DH-05959,
DC-05719,1-text,1,1,1,,,,,,DH-05960,cc_extension_build_report.md,240,Claude Code session report or dispatch (a restatement by construction),,,DH-05960,
DC-05720,1-text,1,1,1,,,,,,DH-05961,cc_extension_build_report.md,247,Claude Code session report or dispatch (a restatement by construction),,,DH-05961,
DC-05721,1-text,1,1,1,,,,,,DH-05962,cc_extension_build_report.md,262,Claude Code session report or dispatch (a restatement by construction),,,DH-05962,
DC-05722,1-text,1,1,1,,,,,,DH-05963,cc_fact_dependency_audit_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-05963,
DC-05723,1-text,1,1,1,,,,,,DH-05964,cc_fact_dependency_audit_report.md,23,Claude Code session report or dispatch (a restatement by construction),,,DH-05964,
DC-05724,1-text,1,1,1,,,,,,DH-05965,cc_fact_dependency_audit_report.md,29,Claude Code session report or dispatch (a restatement by construction),,,DH-05965,
DC-05725,1-text,1,1,1,,,,,,DH-05966,cc_fact_dependency_audit_report.md,50,Claude Code session report or dispatch (a restatement by construction),,,DH-05966,
DC-05726,1-text,1,1,1,,,,,,DH-05967,cc_fact_dependency_audit_report.md,65,Claude Code session report or dispatch (a restatement by construction),,,DH-05967,
DC-05727,1-text,1,1,1,,,,,,DH-05968,cc_fact_dependency_audit_report.md,72,Claude Code session report or dispatch (a restatement by construction),,,DH-05968,
DC-05728,1-text,1,1,1,,,,,,DH-05969,cc_fact_dependency_audit_report.md,80,Claude Code session report or dispatch (a restatement by construction),,,DH-05969,
DC-05729,1-text,1,1,1,,,,,,DH-05970,cc_fact_dependency_audit_report.md,89,Claude Code session report or dispatch (a restatement by construction),,,DH-05970,
DC-05730,1-text,1,1,1,,,,,,DH-05971,cc_fact_dependency_audit_report.md,90,Claude Code session report or dispatch (a restatement by construction),,,DH-05971,
DC-05731,1-text,1,1,1,,,,,,DH-05972,cc_fact_dependency_audit_report.md,97,Claude Code session report or dispatch (a restatement by construction),,,DH-05972,
DC-05732,1-text,1,1,1,,,,,,DH-05973,cc_fact_dependency_audit_report.md,98,Claude Code session report or dispatch (a restatement by construction),,,DH-05973,
DC-05733,1-text,1,1,1,,,,,,DH-05974,cc_fact_dependency_audit_report.md,101,Claude Code session report or dispatch (a restatement by construction),,,DH-05974,
DC-05734,1-text,1,1,1,,,,,,DH-05975,cc_fact_dependency_audit_report.md,109,Claude Code session report or dispatch (a restatement by construction),,,DH-05975,
DC-05735,1-text,1,1,1,,,,,,DH-05976,cc_fact_dependency_audit_report.md,133,Claude Code session report or dispatch (a restatement by construction),,,DH-05976,
DC-05736,1-text,1,1,1,,,,,,DH-05977,cc_fact_dependency_audit_report.md,135,Claude Code session report or dispatch (a restatement by construction),,,DH-05977,
DC-05737,1-text,1,1,1,,,,,,DH-05978,cc_fact_dependency_audit_report.md,138,Claude Code session report or dispatch (a restatement by construction),,,DH-05978,
DC-05738,1-text,1,1,1,,,,,,DH-05979,cc_fact_dependency_audit_report.md,148,Claude Code session report or dispatch (a restatement by construction),,,DH-05979,
DC-05739,1-text,1,1,1,,,,,,DH-05980,cc_fact_dependency_audit_report.md,154,Claude Code session report or dispatch (a restatement by construction),,,DH-05980,
DC-05740,1-text,1,1,1,,,,,,DH-05981,cc_fact_dependency_audit_report.md,156,Claude Code session report or dispatch (a restatement by construction),,,DH-05981,
DC-05741,1-text,1,1,1,,,,,,DH-05982,cc_fact_dependency_audit_report.md,162,Claude Code session report or dispatch (a restatement by construction),,,DH-05982,
DC-05742,1-text,1,1,1,,,,,,DH-05983,cc_fact_dependency_audit_report.md,183,Claude Code session report or dispatch (a restatement by construction),,,DH-05983,
DC-05743,1-text,1,1,1,,,,,,DH-05984,cc_fact_dependency_audit_report.md,189,Claude Code session report or dispatch (a restatement by construction),,,DH-05984,
DC-05744,1-text,1,1,1,,,,,,DH-05985,cc_fact_dependency_audit_report.md,191,Claude Code session report or dispatch (a restatement by construction),,,DH-05985,
DC-05745,1-text,1,1,1,,,,,,DH-05986,cc_fact_dependency_audit_report.md,217,Claude Code session report or dispatch (a restatement by construction),,,DH-05986,
DC-05746,1-text,1,1,1,,,,,,DH-05987,cc_fact_dependency_audit_report.md,235,Claude Code session report or dispatch (a restatement by construction),,,DH-05987,
DC-05747,1-text,1,1,1,,,,,,DH-05988,cc_fact_dependency_audit_report.md,237,Claude Code session report or dispatch (a restatement by construction),,,DH-05988,
DC-05748,1-text,1,1,1,,,,,,DH-05989,cc_fact_dependency_audit_report.md,244,Claude Code session report or dispatch (a restatement by construction),,,DH-05989,
DC-05749,1-text,1,1,1,,,,,,DH-05990,cc_fact_dependency_audit_report.md,248,Claude Code session report or dispatch (a restatement by construction),,,DH-05990,
DC-05750,1-text,1,1,1,,,,,,DH-05991,cc_fact_dependency_audit_report.md,261,Claude Code session report or dispatch (a restatement by construction),,,DH-05991,
DC-05751,1-text,1,1,1,,,,,,DH-05992,cc_fact_dependency_audit_report.md,266,Claude Code session report or dispatch (a restatement by construction),,,DH-05992,
DC-05752,1-text,1,1,1,,,,,,DH-05993,cc_fact_dependency_audit_report.md,271,Claude Code session report or dispatch (a restatement by construction),,,DH-05993,
DC-05753,1-text,1,1,1,,,,,,DH-05994,cc_fact_dependency_audit_report.md,275,Claude Code session report or dispatch (a restatement by construction),,,DH-05994,
DC-05754,1-text,1,1,1,,,,,,DH-05995,cc_fact_dependency_audit_report.md,306,Claude Code session report or dispatch (a restatement by construction),,,DH-05995,
DC-05755,1-text,1,1,1,,,,,,DH-05996,cc_fact_dependency_audit_report.md,307,Claude Code session report or dispatch (a restatement by construction),,,DH-05996,
DC-05756,1-text,1,1,1,,,,,,DH-05997,cc_fact_dependency_audit_report.md,325,Claude Code session report or dispatch (a restatement by construction),,,DH-05997,
DC-05757,1-text,1,1,1,,,,,,DH-05998,cc_fact_dependency_audit_report.md,336,Claude Code session report or dispatch (a restatement by construction),,,DH-05998,
DC-05758,1-text,1,1,1,,,,,,DH-05999,cc_fact_dependency_audit_report.md,345,Claude Code session report or dispatch (a restatement by construction),,,DH-05999,
DC-05759,1-text,1,1,1,,,,,,DH-06000,cc_fact_dependency_audit_report.md,347,Claude Code session report or dispatch (a restatement by construction),,,DH-06000,
DC-05760,1-text,1,1,1,,,,,,DH-06001,cc_fact_dependency_audit_report.md,352,Claude Code session report or dispatch (a restatement by construction),,,DH-06001,
DC-05761,1-text,1,1,1,,,,,,DH-06002,cc_fact_dependency_audit_report.md,359,Claude Code session report or dispatch (a restatement by construction),,,DH-06002,
DC-05762,1-text,1,1,1,,,,,,DH-06003,cc_fact_dependency_audit_report.md,361,Claude Code session report or dispatch (a restatement by construction),,,DH-06003,
DC-05763,1-text,1,1,1,,,,,,DH-06004,cc_fact_dependency_audit_report.md,363,Claude Code session report or dispatch (a restatement by construction),,,DH-06004,
DC-05764,1-text,1,1,1,,,,,,DH-06005,cc_fact_dependency_audit_report.md,379,Claude Code session report or dispatch (a restatement by construction),,,DH-06005,
DC-05765,1-text,1,1,1,,,,,,DH-06006,cc_fact_dependency_audit_report.md,381,Claude Code session report or dispatch (a restatement by construction),,,DH-06006,
DC-05766,1-text,1,1,1,,,,,,DH-06007,cc_fact_dependency_audit_report.md,382,Claude Code session report or dispatch (a restatement by construction),,,DH-06007,
DC-05767,1-text,1,1,1,,,,,,DH-06008,cc_fact_dependency_audit_report.md,383,Claude Code session report or dispatch (a restatement by construction),,,DH-06008,
DC-05768,1-text,1,1,1,,,,,,DH-06009,cc_fact_dependency_audit_report.md,404,Claude Code session report or dispatch (a restatement by construction),,,DH-06009,
DC-05769,1-text,1,1,1,,,,,,DH-06010,cc_fact_dependency_audit_report.md,408,Claude Code session report or dispatch (a restatement by construction),,,DH-06010,
DC-05770,1-text,1,1,1,,,,,,DH-06011,cc_fact_dependency_audit_report.md,413,Claude Code session report or dispatch (a restatement by construction),,,DH-06011,
DC-05771,1-text,1,1,1,,,,,,DH-06012,cc_fact_dependency_audit_report.md,429,Claude Code session report or dispatch (a restatement by construction),,,DH-06012,
DC-05772,1-text,1,1,1,,,,,,DH-06013,cc_fact_dependency_audit_report.md,438,Claude Code session report or dispatch (a restatement by construction),,,DH-06013,
DC-05773,1-text,1,1,1,,,,,,DH-06014,cc_fact_dependency_audit_report.md,456,Claude Code session report or dispatch (a restatement by construction),,,DH-06014,
DC-05774,1-text,1,1,1,,,,,,DH-06015,cc_fact_dependency_audit_report.md,472,Claude Code session report or dispatch (a restatement by construction),,,DH-06015,
DC-05775,1-text,1,1,1,,,,,,DH-06016,cc_fact_dependency_audit_report.md,476,Claude Code session report or dispatch (a restatement by construction),,,DH-06016,
DC-05776,1-text,1,1,1,,,,,,DH-06017,cc_fact_dependency_audit_report.md,484,Claude Code session report or dispatch (a restatement by construction),,,DH-06017,
DC-05777,1-text,1,1,1,,,,,,DH-06018,cc_fact_dependency_audit_report.md,492,Claude Code session report or dispatch (a restatement by construction),,,DH-06018,
DC-05778,1-text,1,1,1,,,,,,DH-06019,cc_fact_dependency_audit_report.md,501,Claude Code session report or dispatch (a restatement by construction),,,DH-06019,
DC-05779,1-text,1,1,1,,,,,,DH-06020,cc_fact_dependency_audit_report.md,513,Claude Code session report or dispatch (a restatement by construction),,,DH-06020,
DC-05780,1-text,1,1,1,,,,,,DH-06021,cc_fact_dependency_audit_report.md,515,Claude Code session report or dispatch (a restatement by construction),,,DH-06021,
DC-05781,1-text,1,1,1,,,,,,DH-06022,cc_fact_dependency_audit_report.md,517,Claude Code session report or dispatch (a restatement by construction),,,DH-06022,
DC-05782,1-text,1,1,1,,,,,,DH-06023,cc_fact_dependency_audit_report.md,518,Claude Code session report or dispatch (a restatement by construction),,,DH-06023,
DC-05783,1-text,1,1,1,,,,,,DH-06024,cc_fact_dependency_audit_report.md,524,Claude Code session report or dispatch (a restatement by construction),,,DH-06024,
DC-05784,1-text,1,1,1,,,,,,DH-06025,cc_fact_dependency_audit_report.md,526,Claude Code session report or dispatch (a restatement by construction),,,DH-06025,
DC-05785,1-text,1,1,1,,,,,,DH-06026,cc_fact_dependency_audit_report.md,532,Claude Code session report or dispatch (a restatement by construction),,,DH-06026,
DC-05786,1-text,1,1,1,,,,,,DH-06027,cc_fact_dependency_audit_report.md,539,Claude Code session report or dispatch (a restatement by construction),,,DH-06027,
DC-05787,1-text,1,1,1,,,,,,DH-06028,cc_fact_dependency_audit_report.md,544,Claude Code session report or dispatch (a restatement by construction),,,DH-06028,
DC-05788,1-text,1,1,1,,,,,,DH-06029,cc_fact_dependency_audit_report.md,557,Claude Code session report or dispatch (a restatement by construction),,,DH-06029,
DC-05789,1-text,1,1,1,,,,,,DH-06030,cc_fact_dependency_audit_report.md,578,Claude Code session report or dispatch (a restatement by construction),,,DH-06030,
DC-05790,1-text,1,1,1,,,,,,DH-06031,cc_fact_dependency_audit_report.md,581,Claude Code session report or dispatch (a restatement by construction),,,DH-06031,
DC-05791,1-text,1,1,1,,,,,,DH-06032,cc_fact_dependency_audit_report.md,582,Claude Code session report or dispatch (a restatement by construction),,,DH-06032,
DC-05792,1-text,1,1,1,,,,,,DH-06033,cc_fact_dependency_audit_report.md,583,Claude Code session report or dispatch (a restatement by construction),,,DH-06033,
DC-05793,1-text,1,1,1,,,,,,DH-06034,cc_fact_dependency_audit_report.md,584,Claude Code session report or dispatch (a restatement by construction),,,DH-06034,
DC-05794,1-text,1,1,1,,,,,,DH-06035,cc_fact_dependency_audit_report.md,588,Claude Code session report or dispatch (a restatement by construction),,,DH-06035,
DC-05795,1-text,1,1,1,,,,,,DH-06036,cc_fact_dependency_audit_report.md,590,Claude Code session report or dispatch (a restatement by construction),,,DH-06036,
DC-05796,1-text,1,1,1,,,,,,DH-06037,cc_fact_dependency_audit_report.md,591,Claude Code session report or dispatch (a restatement by construction),,,DH-06037,
DC-05797,1-text,1,1,1,,,,,,DH-06038,cc_fact_dependency_audit_report.md,592,Claude Code session report or dispatch (a restatement by construction),,,DH-06038,
DC-05798,1-text,1,1,1,,,,,,DH-06039,cc_fact_dependency_audit_report.md,596,Claude Code session report or dispatch (a restatement by construction),,,DH-06039,
DC-05799,1-text,1,1,1,,,,,,DH-06040,cc_fact_dependency_audit_report.md,605,Claude Code session report or dispatch (a restatement by construction),,,DH-06040,
DC-05800,1-text,1,1,1,,,,,,DH-06041,cc_fact_dependency_audit_report.md,611,Claude Code session report or dispatch (a restatement by construction),,,DH-06041,
DC-05801,1-text,1,1,1,,,,,,DH-06042,cc_fact_dependency_audit_report.md,613,Claude Code session report or dispatch (a restatement by construction),,,DH-06042,
DC-05802,1-text,1,1,1,,,,,,DH-06043,cc_fact_dependency_audit_report.md,615,Claude Code session report or dispatch (a restatement by construction),,,DH-06043,
DC-05803,1-text,1,1,1,,,,,,DH-06044,cc_fact_dependency_audit_report.md,616,Claude Code session report or dispatch (a restatement by construction),,,DH-06044,
DC-05804,1-text,1,1,1,,,,,,DH-06045,cc_fact_dependency_audit_report.md,617,Claude Code session report or dispatch (a restatement by construction),,,DH-06045,
DC-05805,1-text,1,1,1,,,,,,DH-06046,cc_fact_dependency_audit_report.md,619,Claude Code session report or dispatch (a restatement by construction),,,DH-06046,
DC-05806,1-text,1,1,1,,,,,,DH-06047,cc_fact_dependency_audit_report.md,642,Claude Code session report or dispatch (a restatement by construction),,,DH-06047,
DC-05807,1-text,1,1,1,,,,,,DH-06048,cc_fact_dependency_audit_report.md,646,Claude Code session report or dispatch (a restatement by construction),,,DH-06048,
DC-05808,1-text,1,1,1,,,,,,DH-06049,cc_fact_dependency_audit_report.md,648,Claude Code session report or dispatch (a restatement by construction),,,DH-06049,
DC-05809,1-text,1,1,1,,,,,,DH-06050,cc_fact_dependency_audit_report.md,656,Claude Code session report or dispatch (a restatement by construction),,,DH-06050,
DC-05810,1-text,1,1,1,,,,,,DH-06051,cc_foundation_stage0_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-06051,
DC-05811,1-text,1,1,1,,,,,,DH-06052,cc_foundation_stage0_report.md,41,Claude Code session report or dispatch (a restatement by construction),,,DH-06052,
DC-05812,1-text,1,1,1,,,,,,DH-06053,cc_foundation_stage0_report.md,69,Claude Code session report or dispatch (a restatement by construction),,,DH-06053,
DC-05813,1-text,1,1,1,,,,,,DH-06054,cc_foundation_stage0_report.md,148,Claude Code session report or dispatch (a restatement by construction),,,DH-06054,
DC-05814,1-text,1,1,1,,,,,,DH-06055,cc_foundation_stage0_report.md,149,Claude Code session report or dispatch (a restatement by construction),,,DH-06055,
DC-05815,1-text,1,1,1,,,,,,DH-06056,cc_foundation_stage0_report.md,153,Claude Code session report or dispatch (a restatement by construction),,,DH-06056,
DC-05816,1-text,1,1,1,,,,,,DH-06057,cc_foundation_stage3b_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-06057,
DC-05817,1-text,1,1,1,,,,,,DH-06058,cc_foundation_stage3b_report.md,11,Claude Code session report or dispatch (a restatement by construction),,,DH-06058,
DC-05818,1-text,1,1,1,,,,,,DH-06059,cc_foundation_stage3b_report.md,58,Claude Code session report or dispatch (a restatement by construction),,,DH-06059,
DC-05819,1-text,1,1,1,,,,,,DH-06060,cc_foundation_stage3b_report.md,68,Claude Code session report or dispatch (a restatement by construction),,,DH-06060,
